Landkreis,Einwohner,Income,0-34,35-79,80+,Total_Cases,D(0-34),D(35-79),D(80+),Total_Deaths,Area,Density,Einwohner(0-34),Einwohner(35-79),Einwohner(80+),west(0)/east(1)
Ahrweiler,129727.0,22962.0,82,109,2,193,0,1,0,1,787.02,164.8331681532871,43494.0,69124.0,17109.0,0.0
Aichach-Friedberg,133596.0,24748.0,113,237,40,390,0,4,16,20,780.24,171.2242386957859,49429.0,70536.0,13631.0,0.0
Alb-Donau-Kreis,196047.0,22884.0,164,406,80,650,0,5,22,27,1358.55,144.30606160980457,75631.0,100528.0,19888.0,0.0
Altenburger Land,90118.0,18822.0,10,55,10,75,0,3,1,4,569.41,158.26557313710683,23972.0,51474.0,14672.0,1.0
Altmarkkreis Salzwedel,83765.0,19255.0,10,21,2,33,0,0,1,1,2293.05,36.52994919430453,25467.0,47428.0,10870.0,1.0
Altötting,11121.0,22865.0,120,380,103,603,0,11,42,53,569.29,19.534859210595656,40287.0,58148.0,12775.0,0.0
Alzey-Worms,129244.0,22245.0,83,152,34,269,0,2,9,11,588.07,219.7765572125767,46134.0,70834.0,12276.0,0.0
Amberg,4197.0,21583.000000000004,29,51,9,89,0,1,3,4,50.13,83.72232196289646,15014.0,21684.0,5272.0,0.0
Amberg-Sulzbach,103109.0,21427.0,103,266,127,496,0,12,41,53,1255.87,82.1016506485544,36196.0,55544.0,11369.0,0.0
Ammerland,124071.0,21515.0,59,118,12,189,0,2,3,5,730.57,169.8276688065483,43408.0,65867.0,14796.0,0.0
Anhalt-Bitterfeld,159854.0,18669.0,20,48,5,73,0,0,2,2,1453.54,109.97564566506598,44787.0,91158.0,23909.0,1.0
Ansbach,225796.0,22278.35373523003,215,457,76,748,0,13,22,35,2071.24,109.01488963133197,84038.0,117850.0,23908.0,0.0
Aschaffenburg,244735.0,23802.684675260996,140,400,116,656,0,13,26,39,761.35,321.4487423655349,86959.0,130951.0,26825.0,0.0
Augsburg,546669.0,21429.98664091068,252,493,71,816,0,10,14,24,1217.4899999999998,449.01313357809926,214303.0,274765.0,57601.0,0.0
Aurich,189848.0,19701.0,44,79,7,130,0,6,2,8,1287.36,147.47079294059162,66800.0,102370.0,20678.0,0.0
Bad Dürkheim,13266.0,25615.0,90,210,29,329,0,3,9,12,594.64,22.309296381003634,42320.0,73945.0,16395.0,0.0
Bad Kissingen,103218.0,21738.000000000004,54,153,51,258,0,7,12,19,1136.84,90.79377924773935,34134.0,55690.0,13394.0,0.0
Bad Kreuznach,15808.0,21680.0,50,119,27,196,0,1,6,7,863.89,18.298625982474622,54346.0,84865.0,18869.0,0.0
Bad Tölz-Wolfratshausen,127227.0,25486.0,122,282,22,426,0,3,7,10,1110.67,114.54977626117568,46442.0,66217.0,14568.0,0.0
Baden-Baden,55123.0,29565.0,36,118,31,185,0,8,11,19,140.19,393.2020828875098,17910.0,29211.0,8002.0,0.0
Bamberg,224678.0,22088.26368402781,165,346,116,627,0,19,39,58,1222.4199999999998,183.79771273375766,87153.0,115441.0,22084.0,0.0
Barnim,18276.0,19707.0,91,285,47,423,0,17,12,29,1479.67,12.351402677624064,56390.0,103532.0,22838.0,1.0
Bautzen,30088.0,19467.0,121,299,83,503,0,4,16,20,2395.6,12.559692770078478,87684.0,167328.0,45868.0,1.0
Bayreuth,178313.0,21257.858131487887,163,381,86,630,0,16,23,39,1340.5200000000002,133.01778414346668,66240.0,91598.0,20475.0,0.0
Berchtesgadener Land,105722.0,22131.999999999996,59,194,52,305,0,10,12,22,839.83,125.88500053582273,38103.0,54122.0,13497.0,0.0
Bergstraße,269694.0,23330.0,117,235,12,364,0,3,0,3,719.47,374.85093193600846,93100.0,146012.0,30582.0,0.0
Berlin,3644826.0,19719.0,3053,4183,565,7801,0,95,116,211,891.12,4090.162941018045,1474260.0,1799671.0,370895.0,0.0
Bernkastel-Wittlich,112262.0,22529.0,59,106,5,170,0,0,2,2,1167.94,96.11966368135349,38355.0,60648.0,13259.0,0.0
Biberach,199742.0,22970.0,179,346,75,600,0,12,22,34,1409.53,141.70822898412948,78742.0,101817.0,19183.0,0.0
Bielefeld,333786.0,22659.000000000004,155,263,13,431,0,5,0,5,258.82,1289.645313345182,136404.0,160336.0,37046.0,0.0
Birkenfeld,8072.0,21504.0,30,52,8,90,0,2,0,2,776.83,10.390947826422769,27252.0,43221.0,10247.0,0.0
Bochum,364628.0,19620.0,228,318,49,595,0,5,14,19,145.66,2503.2816147192093,138561.0,183044.0,43023.0,0.0
Bodenseekreis,216227.0,25728.0,77,203,14,294,0,4,4,8,664.79,325.25609590998664,78049.0,112219.0,25959.0,0.0
Bonn,327258.0,23055.999999999996,321,396,37,754,0,3,5,8,141.06,2319.99149298171,140321.0,154829.0,32108.0,0.0
Borken,370676.0,21531.0,346,701,64,1111,0,20,18,38,1420.98,260.8594068882039,143390.0,190957.0,36329.0,0.0
Bottrop,117383.0,19674.0,69,133,9,211,0,5,2,7,100.61,1166.713050392605,40668.0,63256.0,13459.0,0.0
Braunschweig,248292.0,21419.0,88,215,29,332,0,10,8,18,192.7,1288.4898806434874,98757.0,120512.0,29023.0,0.0
Breisgau-Hochschwarzwald,262795.0,23963.0,222,741,176,1139,0,21,50,71,1378.31,190.66465454070564,95768.0,137131.0,29896.0,0.0
Bremen,569352.0,21327.0,653,700,96,1449,0,17,26,43,326.18,1745.5147464590104,223965.0,281433.0,63954.0,0.0
Bremerhaven,113634.0,17741.0,80,99,17,196,0,4,2,6,93.66,1213.260730301089,44041.0,56825.0,12768.0,0.0
Burgenlandkreis,18019.0,18674.0,24,82,13,119,0,1,1,2,1413.7,12.745985711254155,51233.0,101295.0,27662.0,1.0
Böblingen,39164.0,24506.999999999996,359,883,174,1416,0,15,32,47,617.77,63.39576217686194,150494.0,198782.0,42364.0,0.0
Börde,171734.0,19778.0,38,86,40,164,0,0,13,13,2366.59,72.56601270181991,52030.0,99195.0,20509.0,1.0
Calw,158397.0,23232.0,218,463,78,759,1,12,14,27,797.29,198.6692420574697,58138.0,83035.0,17224.0,0.0
Celle,178936.0,20291.0,62,129,29,220,0,4,11,15,1550.82,115.38154008846934,63545.0,93457.0,21934.0,0.0
Cham,127882.0,21238.000000000004,119,270,41,430,0,7,14,21,1520.13,84.12569977567708,45481.0,68858.0,13543.0,0.0
Chemnitz,247237.0,19659.000000000004,52,144,14,210,0,2,4,6,221.05,1118.4664103144084,86348.0,123620.0,37269.0,1.0
Cloppenburg,169348.0,19820.0,42,68,6,116,0,0,0,0,1420.42,119.22389152504188,72164.0,82934.0,14250.0,0.0
Coburg,128155.0,24696.276797627877,104,263,105,472,0,7,22,29,638.7099999999999,200.64661583504252,44252.0,68100.0,15803.0,0.0
Cochem-Zell,61587.0,21796.999999999996,37,94,4,135,0,1,0,1,692.43,88.94328668601881,20326.0,33305.0,7956.0,0.0
Coesfeld,219929.0,23009.0,257,556,58,871,0,11,13,24,1112.05,197.76898520749967,78891.0,117777.0,23261.0,0.0
Cottbus,100219.0,19983.0,11,26,2,39,0,0,0,0,165.62,605.1141166525782,34461.0,51534.0,14224.0,1.0
Cuxhaven,198213.0,21011.999999999996,152,164,44,360,0,7,13,20,2058.97,96.26803693108691,65361.0,107346.0,25506.0,0.0
Dachau,153884.0,24410.999999999996,290,554,74,918,0,11,19,30,579.16,265.70205124663306,58766.0,80472.0,14646.0,0.0
Dahme-Spreewald,169067.0,20067.999999999996,71,159,22,252,0,3,5,8,2274.49,74.3318282340217,52116.0,94309.0,22642.0,1.0
Darmstadt,159207.0,21986.0,75,104,44,223,0,1,17,18,122.07,1304.227082821332,73212.0,71489.0,14506.0,0.0
Darmstadt-Dieburg,297399.0,23714.000000000004,116,281,30,427,0,9,11,20,658.64,451.53498117332686,107698.0,158915.0,30786.0,0.0
Deggendorf,119326.0,21776.0,93,210,24,327,0,5,10,15,861.17,138.56265313468887,43862.0,63457.0,12007.0,0.0
Delmenhorst,77607.0,18845.0,27,55,3,85,0,2,1,3,62.45,1242.7061649319455,29433.0,39430.0,8744.0,0.0
Dessau-Roßlau,81237.0,19294.0,14,45,7,66,0,1,1,2,244.75,331.9182839632278,22683.0,44219.0,14335.0,1.0
Diepholz,216886.0,22469.0,76,245,57,378,0,9,17,26,1990.99,108.93374652810913,75380.0,115998.0,25508.0,0.0
Dingolfing-Landau,96217.0,23052.0,54,151,15,220,0,5,4,9,877.58,109.63900726999248,36209.0,50797.0,9211.0,0.0
Dithmarschen,13321.0,21570.999999999996,13,46,11,70,0,2,2,4,1428.14,9.327516910106851,45058.0,71084.0,17068.0,0.0
Donau-Ries,133496.0,24066.0,85,202,66,353,0,5,18,23,1274.58,104.73724677933123,50123.0,69572.0,13801.0,0.0
Donnersbergkreis,75101.0,21375.0,39,92,6,137,0,3,3,6,645.41,116.36169256751523,25788.0,41254.0,8059.0,0.0
Dortmund,58701.0,18945.999999999996,288,561,40,889,0,5,4,9,280.71,209.1161697125147,229917.0,293272.0,63821.0,0.0
Dresden,554649.0,18922.0,233,344,48,625,0,5,5,10,328.48,1688.5320263029712,230427.0,254209.0,70013.0,1.0
Duisburg,49859.0,16881.0,479,757,156,1392,1,26,30,57,232.8,214.1709621993127,194136.0,249528.0,54926.0,0.0
Düren,263722.0,20526.0,131,368,106,605,0,13,26,39,941.77,280.02803232211687,96268.0,139190.0,28264.0,0.0
Düsseldorf,619294.0,24881.999999999996,608,919,119,1646,0,24,12,36,217.41,2848.507428361161,244188.0,310372.0,64734.0,0.0
