Landkreis,Income,Cases,Deaths,LK_Einwohner,Cases_Per_Million,Area,Avg_Age,Std_dev,<30,30-65,>65,Density,west(0)/east(1)
Ahrweiler,22962.0,195.0,1.0,129727.0,1503.1566289207335,787.02,47.14919022254426,24.749372432510928,36492.0,61430.0,31805.0,164.8331681532871,0.0
Aichach-Friedberg,24748.0,390.0,20.0,133596.0,2919.2490793137517,780.24,44.081207521183266,24.23401676027719,41489.0,65623.0,26484.0,171.2242386957859,0.0
Alb-Donau-Kreis,22884.0,650.0,27.0,196047.0,3315.531479696195,1358.55,43.58553306094967,24.248563477946323,63530.0,94797.0,37720.0,144.30606160980457,0.0
Altenburger Land,18822.0,75.0,4.0,90118.0,832.2421713753079,569.41,51.01420359972481,24.721364940072316,19289.0,43488.0,27341.0,158.26557313710683,1.0
Altenkirchen (Westerwald),21176.0,172.0,11.0,128705.0,1336.3894176605415,642.38,45.79624334718931,24.475847235343462,38192.0,61819.0,28694.0,200.35648681465798,0.0
Altmarkkreis Salzwedel,19255.0,33.0,1.0,83765.0,393.9592908732764,2293.05,48.07911418850355,24.375561823467105,20432.0,43097.0,20236.0,36.52994919430453,1.0
Altötting,22865.0,604.0,53.0,111210.0,5431.166262026796,569.29,45.17591043970866,24.53363343892553,33735.0,53277.0,24198.0,195.34859210595656,0.0
Alzey-Worms,22245.0,270.0,11.0,129244.0,2089.0718331218472,588.07,44.74146962334809,23.92728708400697,38492.0,64844.0,25908.0,219.7765572125767,0.0
Amberg,21583.000000000004,89.0,4.0,41970.0,2120.56230640934,50.13,46.24630688587086,24.502980836480706,12304.0,19829.0,9837.0,837.2232196289647,0.0
Amberg-Sulzbach,21427.0,496.0,53.0,103109.0,4810.443317266195,1255.87,45.63896944010707,24.083402129750137,30270.0,51159.0,21680.0,82.1016506485544,0.0
Ammerland,21515.0,189.0,5.0,124071.0,1523.321324080567,730.57,45.80927452829428,24.706871436056975,36691.0,58700.0,28680.0,169.8276688065483,0.0
Anhalt-Bitterfeld,18669.0,73.0,2.0,159854.0,456.6667083713889,1453.54,49.94955709584996,24.45986823300093,35754.0,79729.0,44371.0,109.97564566506598,1.0
Ansbach,22278.35373523003,748.0,35.0,225796.0,3312.724760403196,2071.24,44.50205052348137,24.216705143299702,70311.0,109751.0,45734.0,109.01488963133197,0.0
Aschaffenburg,23802.684675260996,656.0,39.0,244735.0,2680.4502829591192,761.35,45.370815371728604,24.130621347730493,71863.0,120819.0,52053.0,321.4487423655349,0.0
Augsburg,21429.98664091068,816.0,24.0,546669.0,1492.6765556488479,1217.4899999999998,43.788721328628476,24.0888104034534,175422.0,262363.0,108884.0,449.01313357809926,0.0
Aurich,19701.0,130.0,8.0,189848.0,684.7583329821751,1287.36,45.74033964013316,24.349651020911733,56669.0,89890.0,43289.0,147.47079294059162,0.0
Bad Dürkheim,25615.0,329.0,12.0,132660.0,2480.0241218151664,594.64,47.37104628373285,24.401946672817004,35664.0,64941.0,32055.0,223.09296381003634,0.0
Bad Kissingen,21738.000000000004,258.0,19.0,103218.0,2499.5640295297335,1136.84,47.25395279893042,24.60696058783004,28551.0,49475.0,25192.0,90.79377924773935,0.0
Bad Kreuznach,21680.0,201.0,7.0,158080.0,1271.5080971659918,863.89,46.312503162955466,24.559602006506154,45480.0,75824.0,36776.0,182.9862598247462,0.0
Bad Tölz-Wolfratshausen,25486.0,426.0,10.0,127227.0,3348.3458699804287,1110.67,44.82416075204163,24.546274716556784,39008.0,61074.0,27145.0,114.54977626117568,0.0
Baden-Baden,29565.0,185.0,19.0,55123.0,3356.130834678809,140.19,47.92368884131851,24.830469487988758,14828.0,25905.0,14390.0,393.2020828875098,0.0
Bamberg,22088.26368402781,626.0,58.0,224678.0,2786.2095977354256,1222.4199999999998,43.84245898574849,23.79349712290485,71327.0,110521.0,42830.0,183.79771273375766,0.0
Barnim,19707.0,422.0,29.0,182760.0,2309.039177062815,1479.67,47.42915845918144,24.39404477800414,45330.0,94246.0,43184.0,123.51402677624064,1.0
Bautzen,19467.0,503.0,20.0,300880.0,1671.7628290348312,2395.6,49.13172859611805,25.095819513400635,70914.0,147650.0,82316.0,125.59692770078478,1.0
Bayreuth,21257.858131487887,630.0,39.0,178313.0,3533.1131213091585,1340.5200000000002,45.36996741684566,24.191564911697117,55718.0,83387.0,39208.0,133.01778414346668,0.0
Berchtesgadener Land,22131.999999999996,305.0,22.0,105722.0,2884.924613609277,839.83,45.972626321863,24.686759688918254,31252.0,49470.0,25000.0,125.88500053582273,0.0
Bergstraße,23330.0,363.0,3.0,269694.0,1345.969876971679,719.47,45.88021238885552,24.299135156081586,77682.0,132148.0,59864.0,374.85093193600846,0.0
Berlin,19719.0,7733.0,211.0,3754418.0,2059.7067241846808,891.12,43.151354687439124,23.88599051754551,1148101.0,1797161.0,699564.0,4213.145255408924,0.0
Bernkastel-Wittlich,22529.0,171.0,2.0,112262.0,1523.2224617412837,1167.94,46.25053891788851,24.44466900318207,32083.0,54607.0,25572.0,96.11966368135349,0.0
Biberach,22970.0,600.0,34.0,199742.0,3003.874998748385,1409.53,43.06171961830762,24.136060871092212,65729.0,96915.0,37098.0,141.70822898412948,0.0
Bielefeld,22659.000000000004,431.0,5.0,333786.0,1291.246487270287,258.82,43.371311259309856,24.441760273151655,112827.0,154580.0,66379.0,1289.645313345182,0.0
Birkenfeld,21504.0,90.0,2.0,80720.0,1114.9653121902875,776.83,47.08595763131814,24.603892535755186,22734.0,38401.0,19585.0,103.90947826422769,0.0
Bochum,19620.0,592.0,19.0,364628.0,1623.5725177441118,145.66,45.24362363833825,24.294467530397476,113164.0,170961.0,80503.0,2503.2816147192093,0.0
Bodenseekreis,25728.0,294.0,8.0,216227.0,1359.6821858509807,664.79,45.456305179279184,24.663139132461016,65171.0,102157.0,48899.0,325.25609590998664,0.0
Bonn,23055.999999999996,754.0,8.0,327258.0,2303.992568554474,141.06,42.0909435369036,23.975245690623634,116056.0,152269.0,58933.0,2319.99149298171,0.0
Borken,21531.0,1111.0,38.0,370676.0,2997.22668853662,1420.98,43.496780206973206,24.17686343173532,121388.0,179098.0,70190.0,260.8594068882039,0.0
Bottrop,19674.0,211.0,7.0,117383.0,1797.534566334137,100.61,46.043558266529224,24.231430401178287,33760.0,57399.0,26224.0,1166.713050392605,0.0
Brandenburg an der Havel,17609.0,65.0,0.0,72124.0,901.2256669069934,229.72,48.88914924297044,25.159166177144154,17858.0,34400.0,19866.0,313.9648267456033,1.0
Braunschweig,21419.0,332.0,18.0,248292.0,1337.1353084271743,192.7,44.38748529956664,24.166431762716307,79686.0,116439.0,52167.0,1288.4898806434874,0.0
Breisgau-Hochschwarzwald,23963.0,1139.0,71.0,262795.0,4334.17682984836,1378.31,45.05157442112673,24.616848733362072,80602.0,124894.0,57299.0,190.66465454070564,0.0
Bremen,21327.0,1440.0,43.0,569352.0,2529.1910803861233,326.18,44.17553727746631,24.31445167676342,182875.0,267221.0,119256.0,1745.5147464590104,0.0
Bremerhaven,17741.0,196.0,6.0,113634.0,1724.8358765862329,93.66,44.38163313796927,24.747868047216354,36893.0,52022.0,24719.0,1213.260730301089,0.0
Burgenlandkreis,18674.0,119.0,2.0,180190.0,660.4140074365947,1413.7,49.856126866085795,24.651642187022937,40716.0,89251.0,50223.0,127.45985711254156,1.0
Böblingen,24506.999999999996,1416.0,47.0,391640.0,3615.5653150852822,617.77,43.774693596159736,24.399260024982375,124186.0,189642.0,77812.0,633.9576217686194,0.0
Börde,19778.0,164.0,13.0,171734.0,954.965236936192,2366.59,47.69047480405744,24.08855925845415,41413.0,89688.0,40633.0,72.56601270181991,1.0
Calw,23232.0,759.0,27.0,158397.0,4791.757419648099,797.29,44.7673030423556,24.35762800678414,48903.0,76534.0,32960.0,198.6692420574697,0.0
Celle,20291.0,220.0,15.0,178936.0,1229.489873474315,1550.82,45.82959270353646,24.868932417271132,53366.0,83778.0,41792.0,115.38154008846934,0.0
Cham,21238.000000000004,430.0,21.0,127882.0,3362.4747814391394,1520.13,45.35592968517852,24.018896486730583,37816.0,62942.0,27124.0,84.12569977567708,0.0
Chemnitz,19659.000000000004,210.0,6.0,247237.0,849.3874298749782,221.05,47.554457868361126,25.412273490382095,68432.0,110164.0,68641.0,1118.4664103144084,1.0
Cloppenburg,19820.0,116.0,0.0,169348.0,684.9800410988025,1420.42,41.31376809882609,23.905616754275066,61283.0,80342.0,27723.0,119.22389152504188,0.0
Coburg,24696.276797627877,469.0,29.0,128155.0,3659.6309156880343,638.7099999999999,46.51042097460107,24.392969050915987,36397.0,62039.0,29719.0,200.64661583504252,0.0
Cochem-Zell,21796.999999999996,135.0,1.0,61587.0,2192.0210434020164,692.43,47.37626447139819,24.507858062564743,17013.0,29594.0,14980.0,88.94328668601881,0.0
