Landkreis,Income,Cases,Deaths,LK_Einwohner,Cases_Per_Million,Area,Avg_Age,Std_dev,<30,30-65,>65,Density,west(0)/east(1),c/p,firstcase,firstday
Ahrweiler,22962.0,195.0,1.0,129727.0,1503.1566289207337,787.02,47.14919022254426,24.749372432510928,36492.0,61430.0,31805.0,164.8331681532871,0.0,0.0015031566289207335,6.0,29.0
Aichach-Friedberg,24748.0,390.0,20.0,133596.0,2919.2490793137517,780.24,44.08120752118327,24.23401676027719,41489.0,65623.0,26484.0,171.2242386957859,0.0,0.002919249079313752,4.0,29.0
Alb-Donau-Kreis,22884.0,650.0,27.0,196047.0,3315.531479696195,1358.55,43.58553306094967,24.248563477946323,63530.0,94797.0,37720.0,144.30606160980454,0.0,0.003315531479696195,4.0,21.0
Altenburger Land,18822.0,75.0,4.0,90118.0,832.242171375308,569.41,51.01420359972481,24.721364940072323,19289.0,43488.0,27341.0,158.26557313710683,1.0,0.0008322421713753079,2.0,30.0
Altmarkkreis Salzwedel,19255.0,33.0,1.0,83765.0,393.95929087327636,2293.05,48.07911418850355,24.375561823467105,20432.0,43097.0,20236.0,36.529949194304535,1.0,0.0003939592908732764,1.0,29.0
Altötting,22865.0,604.0,53.0,111210.0,5431.166262026796,569.29,45.17591043970865,24.533633438925534,33735.0,53277.0,24198.0,195.34859210595658,0.0,0.005431166262026796,7.0,35.0
Alzey-Worms,22245.0,270.0,11.0,129244.0,2089.0718331218472,588.07,44.741469623348095,23.927287084006966,38492.0,64844.0,25908.0,219.77655721257668,0.0,0.002089071833121847,2.0,29.0
Amberg,21583.000000000004,89.0,4.0,41970.0,2120.5623064093397,50.13,46.24630688587086,24.502980836480702,12304.0,19829.0,9837.0,837.2232196289647,0.0,0.00212056230640934,1.0,30.0
Amberg-Sulzbach,21427.0,496.0,53.0,103109.0,4810.443317266195,1255.87,45.63896944010707,24.083402129750137,30270.0,51159.0,21680.0,82.10165064855441,0.0,0.004810443317266194,3.0,27.0
Ammerland,21515.0,189.0,5.0,124071.0,1523.321324080567,730.57,45.809274528294274,24.706871436056968,36691.0,58700.0,28680.0,169.8276688065483,0.0,0.0015233213240805669,2.0,26.0
