GENESIS-Tabelle: 22151-0018
Average net needs, gross needs, deducted income:;;;;;;;;;;;;
Administrative districts, reference month per quarter;;;;;;;;;;;;
Basic security in old age,reduced earning capacity;;;;;;;;;;;;
;2015;2015;2015;2016;2016;2016;2017;2017;2017;2018;2018;2018
;December;December;December;December;December;December;December;December;December;December;December;December
;Average net needs;Average gross needs;Av.ded.income related to entitl.indiv.,income ded.;Average net needs;Average gross needs;Av.ded.income related to entitl.indiv.,income ded.;Average net needs;Average gross needs;Av.ded.income related to entitl.indiv.,income ded.;Average net needs;Average gross needs;Av.ded.income related to entitl.indiv.,income ded.
;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR
Flensburg, kreisfreie Stadt;445;768;391;463;788;388;485;802;384;497;803;385
Kiel, kreisfreie Stadt;520;804;365;531;819;367;547;833;369;558;823;359
Lübeck, kreisfreie Stadt;472;791;410;486;807;406;501;826;410;498;813;410
Neumünster, kreisfreie Stadt;467;758;399;490;777;396;499;789;397;500;785;393
Dithmarschen, Landkreis;450;750;381;458;755;379;479;769;374;487;779;381
Herzogtum Lauenburg, Landkreis;483;777;396;499;786;392;509;798;394;517;788;376
Nordfriesland, Landkreis;414;739;400;441;760;397;460;769;392;457;767;393
Ostholstein, Landkreis;502;787;421;489;800;420;494;806;422;507;796;401
Pinneberg, Landkreis;492;790;399;507;805;399;524;826;402;527;836;413
Plön, Landkreis;445;768;396;456;787;410;475;798;406;478;798;403
Rendsburg-Eckernförde, Landkreis;476;752;362;490;769;364;498;780;363;509;780;350
Schleswig-Flensburg, Landkreis;469;770;398;484;784;404;497;794;400;506;805;402
Segeberg, Landkreis;501;798;405;518;810;403;536;835;414;542;827;406
Steinburg, Landkreis;451;747;400;465;758;396;477;769;395;487;760;381
Stormarn, Landkreis;475;781;413;503;799;401;522;813;400;539;815;396
Hamburg, kreisfreie Stadt;549;877;424;548;876;424;553;887;428;571;880;422
Braunschweig, kreisfreie Stadt;465;795;406;494;810;390;496;809;386;505;805;384
