Landkreis,Net_needs,Gross_needs,Ded_income
"Flensburg, kreisfreie Stadt",497,803,385
"Kiel, kreisfreie Stadt",558,823,359
"Lübeck, kreisfreie Stadt",498,813,410
"Neumünster, kreisfreie Stadt",500,785,393
"Dithmarschen, Landkreis",487,779,381
"Herzogtum Lauenburg, Landkreis",517,788,376
"Nordfriesland, Landkreis",457,767,393
"Ostholstein, Landkreis",507,796,401
"Pinneberg, Landkreis",527,836,413
"Plön, Landkreis",478,798,403
"Rendsburg-Eckernförde, Landkreis",509,780,350
"Schleswig-Flensburg, Landkreis",506,805,402
"Segeberg, Landkreis",542,827,406
"Steinburg, Landkreis",487,760,381
"Stormarn, Landkreis",539,815,396
"Hamburg, kreisfreie Stadt",571,880,422
"Braunschweig, kreisfreie Stadt",505,805,384
"Salzgitter, kreisfreie Stadt",491,767,381
"Wolfsburg, kreisfreie Stadt",490,778,394
"Gifhorn, Landkreis",469,752,362
"Göttingen, Landkreis (until 2016-10-31)",-,-,-
"Goslar, Landkreis",455,757,398
"Helmstedt, Landkreis",436,734,373
"Northeim, Landkreis",452,712,355
"Osterode am Harz, Landkreis (until 2016-10-31)",-,-,-
"Peine, Landkreis",487,760,377
"Wolfenbüttel, Landkreis",507,768,383
"Göttingen, Landkreis",506,761,361
"Hannover, kreisfreie Stadt (until 2001-10-31)",-,-,-
"Region Hannover, Landkreis",573,794,355
"Diepholz, Landkreis",488,760,373
"Hameln-Pyrmont, Landkreis",491,765,377
"Hannover, Landkreis (until 2001-10-31)",-,-,-
"Hildesheim, Landkreis",538,765,354
"Holzminden, Landkreis",414,708,378
"Nienburg (Weser), Landkreis",486,733,359
"Schaumburg, Landkreis",486,744,368
"Celle, Landkreis",515,764,372
"Cuxhaven, Landkreis",487,728,389
"Harburg, Landkreis",528,851,439
"Lüchow-Dannenberg, Landkreis",489,737,356
"Lüneburg, Landkreis",526,810,380
"Osterholz, Landkreis",509,763,361
"Rotenburg (Wümme), Landkreis",532,735,314
Heidekreis,514,747,374
"Stade, Landkreis",489,779,376
"Uelzen, Landkreis",482,742,366
"Verden, Landkreis",513,762,351
"Delmenhorst, kreisfreie Stadt",527,773,353
"Emden, kreisfreie Stadt",434,762,407
"Oldenburg (Oldenburg), kreisfreie Stadt",514,830,393
"Osnabrück, kreisfreie Stadt",533,786,350
"Wilhelmshaven, kreisfreie Stadt",454,797,409
"Ammerland, Landkreis",432,761,410
"Aurich, Landkreis",461,738,375
"Cloppenburg, Landkreis",436,692,332
"Emsland, Landkreis",453,729,348
"Friesland, Landkreis",466,753,361
"Grafschaft Bentheim, Landkreis",450,736,353
"Leer, Landkreis",442,730,366
"Oldenburg, Landkreis",474,758,380
"Osnabrück, Landkreis",504,729,321
"Vechta, Landkreis",443,700,336
"Wesermarsch, Landkreis",423,737,390
"Wittmund, Landkreis",400,725,395
"Bremen, kreisfreie Stadt",519,815,403
"Bremerhaven, kreisfreie Stadt",459,762,380
"Düsseldorf, kreisfreie Stadt",578,838,364
"Duisburg, kreisfreie Stadt",464,766,379
"Essen, kreisfreie Stadt",497,801,393
"Krefeld, kreisfreie Stadt",498,788,373
"Mönchengladbach, kreisfreie Stadt",498,795,381
"Mülheim an der Ruhr, kreisfreie Stadt",503,798,395
"Oberhausen, kreisfreie Stadt",475,772,382
"Remscheid, kreisfreie Stadt",495,800,389
"Solingen, kreisfreie Stadt",500,786,392
"Wuppertal, kreisfreie Stadt",508,777,363
"Kleve, Landkreis",475,765,370
"Mettmann, Landkreis",502,814,408
Rhein-Kreis Neuss,492,803,397
"Viersen, Landkreis",486,774,367
