Landkreis,Einwohner,Income
Starnberg ,136.092,34.987
"Heilbronn, Stadt ",125.96,32.366
Hochtaunuskreis ,236.564,31.612
"München, Landkreis ",348.871,29.891
"München, Stadt ",1.471.508 ,29.685
"Ulm, Stadt ",126.329,29.641
"Baden-Baden, Stadt ",55.123,29.565
Miesbach ,99.726,28.017
Olpe ,134.775,27.132
"Memmingen, Stadt ",43.837,26.941
Main-Taunus-Kreis ,237.735,26.641
Ebersberg ,142.142,26.614
Bodenseekreis ,216.227,25.728
Bad Dürkheim ,132.66,25.615
Bad Tölz-Wolfratshausen ,127.227,25.486
Lörrach ,228.639,25.461
Rhein-Pfalz-Kreis ,154.201,25.441
"Schwabach, Stadt ",40.792,25.418
Mainz-Bingen ,210.889,25.408
"Neustadt an der Weinstraße, Stadt ",53.148,25.391
Tuttlingen ,140.152,25.338
Rheinisch-Bergischer Kreis ,283.455,25.295
Ludwigsburg ,543.984,25.231
Erlangen-Höchstadt ,136.271,25.135
Coburg ,86.906,25.069
Fürstenfeldbruck ,219.32,25.055
Zollernalbkreis ,188.935,25.027
Mettmann ,485.684,25.021
"Stuttgart, Stadt ",634.83,25.012
Stormarn ,243.196,25.006
Nürnberger Land ,170.365,24.993
Unterallgäu ,144.041,24.933
Esslingen ,533.859,24.908
Pfaffenhofen an der Ilm ,127.151,24.891
"Düsseldorf, Stadt ",619.294,24.882
Enzkreis ,198.905,24.829
Harburg ,252.776,24.798
Aichach-Friedberg ,133.596,24.748
Landsberg am Lech ,120.071,24.671
Rheingau-Taunus-Kreis ,187.157,24.671
Lindau (Bodensee) ,81.669,24.656
Rems-Murr-Kreis ,426.158,24.638
Rhein-Kreis Neuss ,451.007,24.546
Rosenheim ,260.983,24.524
Böblingen ,391.64,24.507
Rottweil ,139.455,24.476
"Hamburg, Stadt ",1.899.160 ,24.421
Dachau ,153.884,24.411
Nordfriesland ,165.507,24.384
Fürth ,117.387,24.337
Gütersloh ,364.083,24.271
Ennepe-Ruhr-Kreis ,324.296,24.22
Erding ,137.66,24.172
Märkischer Kreis ,412.12,24.137
Pinneberg ,314.391,24.124
Heilbronn ,343.068,24.123
Westerwaldkreis ,201.597,24.108
"Wolfsburg, Stadt ",124.151,24.083
Donau-Ries ,133.496,24.066
Rhein-Neckar-Kreis ,547.625,24.048
Augsburg ,251.534,24.043
Karlsruhe ,444.232,23.996
Göppingen ,257.253,23.985
Freudenstadt ,117.935,23.982
Breisgau-Hochschwarzwald ,262.795,23.963
Reutlingen ,286.748,23.954
Garmisch-Partenkirchen ,88.467,23.933
"Aschaffenburg, Stadt ",70.527,23.918
"Coburg, Stadt ",41.249,23.911
Traunstein ,177.089,23.908
Ostalbkreis ,314.002,23.888
"Speyer, Stadt ",50.378,23.86
Schwarzwald-Baar-Kreis ,212.381,23.851
"Landshut, Stadt ",72.404,23.847
Eichstätt ,132.341,23.779
Waldshut ,170.619,23.762
Aschaffenburg ,174.208,23.756
Kitzingen ,90.909,23.748
Darmstadt-Dieburg ,297.399,23.714
Weilheim-Schongau ,135.348,23.691
Konstanz ,285.325,23.617
Roth ,126.958,23.592
"Erlangen, Stadt ",111.962,23.528
Oberallgäu ,155.362,23.482
Offenbach ,354.092,23.449
Neu-Ulm ,174.2,23.442
Südliche Weinstraße ,110.356,23.424
"Würzburg, Stadt ",127.88,23.38
Günzburg ,125.747,23.362
"Solingen, Stadt ",159.36,23.357
Bergstraße ,269.694,23.33
Ostallgäu ,140.316,23.281
Calw ,158.397,23.232
Hohenlohekreis ,112.01,23.219
Rhein-Hunsrück-Kreis ,102.937,23.219
Freising ,179.116,23.21
"Heidelberg, Stadt ",160.355,23.189
Forchheim ,116.099,23.187
Dillingen an der Donau ,96.021,23.162
Hochsauerlandkreis ,260.475,23.151
Rendsburg-Eckernförde ,272.775,23.135
Siegen-Wittgenstein ,278.21,23.134
Gifhorn ,175.92,23.101
"Mülheim an der Ruhr, Stadt ",170.88,23.091
Verden ,136.792,23.066
Schwäbisch Hall ,195.861,23.061
"Fürth, Stadt ",127.748,23.061
"Bonn, Stadt ",327.258,23.056
Dingolfing-Landau ,96.217,23.052
Coesfeld ,219.929,23.009
Regensburg ,193.572,23.001
Rhein-Sieg-Kreis ,599.78,22.975
Biberach ,199.742,22.97
Ravensburg ,284.285,22.966
Ahrweiler ,129.727,22.962
Herzogtum Lauenburg ,197.264,22.961
Landshut ,158.698,22.958
Segeberg ,276.032,22.953
"Ingolstadt, Stadt ",136.981,22.95
