,mfc1,mfc2,mfc3,mfc4,x1,y1,s1,x2,y2,s2,x3,y3,s3,n,split
0.0,0.426182568073273,0.159984067082405,0.613221704959869,0.185594081878662,0.055825,0.217075,0.45,0.88495,0.94875,0.45,,,,2,train
1.0,0.0637297555804253,0.0938483402132988,0.0824903771281242,0.0806143879890442,0.732775,0.3081,0.3,0.6677,0.532175,0.3,0.469075,0.837575,0.3,3,train
3.0,0.22214175760746,0.240884885191917,0.16258642077446,0.177706986665726,0.482375,0.37035,0.6,0.780675,0.272925,0.3,,,,2,train
4.0,0.481610149145126,0.286556780338287,0.285888731479645,0.458095550537109,0.235425,0.296475,0.6,0.319575,0.672875,0.6,,,,2,train
5.0,0.0931665301322937,0.0575258880853653,0.0531232766807079,0.186398088932037,0.13115,0.530075,0.45,0.08855,0.938725,0.3,,,,2,train
6.0,0.147848397493362,0.148244574666023,0.437174290418625,0.235395550727844,0.4692,0.72095,0.6,0.943425,0.9923,0.45,,,,2,train
7.0,0.121520861983299,0.132806792855263,0.1590356528759,0.235795736312866,0.051525,0.66715,0.3,0.8268,0.561325,0.45,0.2462,0.800275,0.45,3,train
8.0,0.230609744787216,0.207632631063461,0.348887383937836,0.894093811511993,0.3621,0.735775,0.6,0.100775,0.94675,0.6,0.767225,0.874125,0.45,3,train
9.0,0.0322875417768955,0.042917288839817,0.138325244188309,0.0496896728873253,0.776,0.9085,0.45,,,,,,,1,train
10.0,0.539577424526215,0.146475285291672,0.181871235370636,0.174289718270302,0.0748,0.14705,0.6,0.3471,0.495975,0.45,0.871575,0.924325,0.3,3,train
11.0,0.103517830371856,0.0761213451623917,0.0880787372589111,0.100838579237461,0.232,0.45405,0.45,0.716725,0.727875,0.3,,,,2,train
12.0,0.413364380598068,0.336306482553482,0.472677379846573,0.416322559118271,0.335725,0.40535,0.6,0.6509,0.82465,0.6,,,,2,train
13.0,0.18905882537365,0.207806304097176,0.983905136585236,0.284349352121353,0.04245,0.641925,0.45,0.7871,0.74575,0.6,0.943325,0.99555,0.6,3,train
14.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,train
15.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,train
16.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,train
17.0,0.172288581728935,0.161336839199066,0.218383222818375,0.49643212556839,0.56485,0.3934,0.3,0.18955,0.98875,0.45,0.364975,0.994825,0.6,3,train
18.0,0.102312929928302,0.0792617350816727,0.0807304084300995,0.215564027428627,0.1102,0.5568,0.3,0.3881,0.566725,0.45,0.056975,0.974275,0.3,3,train
19.0,0.285439819097519,0.548279881477356,0.316000163555145,0.364203959703445,0.7562,0.0381,0.6,0.95775,0.499025,0.3,0.415125,0.77505,0.6,3,train
20.0,0.318709701299667,0.129717499017715,0.124814130365848,0.229905396699905,0.1608,0.0552,0.45,0.1426,0.5384,0.45,0.318425,0.689975,0.45,3,train
21.0,0.212420105934143,0.141516655683517,0.113855831325054,0.174360319972038,0.38815,0.19705,0.45,0.0628,0.540625,0.45,0.581025,0.5204,0.3,3,train
22.0,0.169630140066147,0.348270416259766,0.14649310708046,0.122538559138774,0.6953,0.093525,0.6,0.792225,0.60345,0.3,,,,2,train
23.0,0.290799111127853,0.562544226646423,0.247286483645439,0.426319599151611,0.9533,0.17815,0.6,0.02635,0.631,0.6,0.491125,0.971525,0.45,3,train
24.0,0.0727012455463409,0.0133759910240769,0.0,0.0147044276818633,0.02095,0.129025,0.3,,,,,,,1,train
25.0,0.131683513522148,0.288564264774323,0.345262378454208,0.160553693771362,0.836225,0.0796,0.45,0.775275,0.792025,0.6,,,,2,train
26.0,0.00894591026008129,0.0138764362782239,0.0611697398126125,0.0158817581832409,0.85755,0.962325,0.3,,,,,,,1,train
27.0,0.0738647803664207,0.163544297218323,0.332824140787125,0.075130932033062,0.82585,0.132075,0.3,0.816675,0.46825,0.45,0.942775,0.999975,0.45,3,train
28.0,0.240294173359871,0.118054255843162,0.114247411489486,0.539287626743317,0.23605,0.026675,0.45,0.09915,0.8522,0.6,,,,2,train
30.0,0.0772951617836952,0.0642220005393028,0.0534701943397522,0.0771562457084656,0.384475,0.484425,0.45,,,,,,,1,train
31.0,0.301799178123474,0.329484641551971,0.19935505092144,0.230076238512993,0.504075,0.224525,0.6,0.6607,0.330375,0.45,0.110725,0.61855,0.3,3,train
32.0,0.519480168819427,0.083713598549366,0.287376761436462,0.0818002447485924,0.12065,0.06195,0.6,0.9944,0.918775,0.45,,,,2,train
34.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,train
35.0,0.139492213726044,0.18541806936264,0.270595073699951,0.233810678124428,0.72705,0.639575,0.6,0.037575,0.8571,0.3,,,,2,train
36.0,0.494943559169769,0.22044737637043,0.12191142141819,0.146889552474022,0.077725,0.17545,0.6,0.8746,0.2846,0.45,,,,2,train
37.0,0.0888526737689972,0.101703807711601,0.212060779333115,0.141023024916649,0.558425,0.744675,0.45,0.690625,0.9084,0.45,,,,2,train
38.0,0.526418387889862,0.27776762843132,0.263750106096268,0.467228442430496,0.108775,0.3294,0.6,0.147725,0.58225,0.6,0.9306,0.504925,0.3,3,train
39.0,0.302358895540237,0.200901046395302,0.192424044013023,0.302242189645767,0.309775,0.1519,0.45,0.32535,0.60645,0.6,,,,2,train
40.0,0.0286080688238144,0.0197872836142778,0.0128289386630058,0.0412540957331657,0.1029,0.576325,0.3,,,,,,,1,train
41.0,0.103157795965671,0.111387841403484,0.0960061624646187,0.0690917074680328,0.098275,0.2204,0.3,0.897425,0.482275,0.45,,,,2,train
42.0,0.13468511402607,0.190349742770195,0.280663162469864,0.16469994187355,0.6355,0.5825,0.3,0.75685,0.647775,0.6,,,,2,train
43.0,0.0,0.0,0.0,0.0,,,,,,,,,,0,train
44.0,0.245456874370575,0.133151173591614,0.132576018571854,0.263587415218353,0.005425,0.4863,0.6,0.4023,0.8105,0.3,,,,2,train
45.0,0.077426977455616,0.0927908048033714,0.102059312164783,0.0992395505309105,0.662125,0.465,0.3,0.531625,0.654525,0.45,,,,2,train
47.0,0.0492566339671612,0.0444709956645966,0.0521680414676666,0.111638061702251,0.3119,0.780875,0.45,,,,,,,1,train
