type,augmented,depth,width,epochs,batch_size,learning_rate,mse_train,mse_train_aug,mse_val,mse_val_aug,mse_test,mse_test_aug
eqv,False,1,4,1000,32,0.0001,0.24707072973251343,0.2453743815422058,0.24020175635814667,0.255348265171051,0.2444840520620346,0.2444840520620346
eqv,True,1,4,1000,32,0.0001,0.01808812841773033,0.017462514340877533,0.012038948014378548,0.017563363537192345,0.023754984140396118,0.023754984140396118
fcnn,False,1,4,1000,32,0.0001,0.03781755268573761,0.04292631894350052,0.03081662580370903,0.04504755884408951,0.03721098229289055,0.045022327452898026
fcnn,True,1,4,1000,32,0.0001,0.03431227058172226,0.03261486440896988,0.02545727603137493,0.03663249686360359,0.03415144607424736,0.033691976219415665
fcnn,False,1,16,1000,32,0.0001,0.033275410532951355,0.038738369941711426,0.02480425126850605,0.04031653329730034,0.030819520354270935,0.038789067417383194
fcnn,True,1,16,1000,32,0.0001,0.022722607478499413,0.021906139329075813,0.014612124301493168,0.02272270806133747,0.02559463307261467,0.02503628470003605
eqv,False,1,4,1000,32,0.0001,0.035797227174043655,0.03482095152139664,0.02657308243215084,0.03519775718450546,0.03803073614835739,0.03803073987364769
eqv,True,1,4,1000,32,0.0001,0.01811932399868965,0.017497137188911438,0.012093931436538696,0.017587929964065552,0.023884257301688194,0.023884259164333344
fcnn,False,1,4,1000,32,0.0001,0.03819325566291809,0.04455883055925369,0.030570412054657936,0.047117576003074646,0.041339606046676636,0.04678545519709587
fcnn,True,1,4,1000,32,0.0001,0.02867833897471428,0.027684330940246582,0.023187978193163872,0.0312662199139595,0.030765488743782043,0.029511423781514168
fcnn,False,1,16,1000,32,0.0001,0.03179801627993584,0.03773117437958717,0.02482431009411812,0.03993075340986252,0.030141513794660568,0.03799889236688614
fcnn,True,1,16,1000,32,0.0001,0.021373899653553963,0.01981307938694954,0.014583882875740528,0.021105507388710976,0.02459835633635521,0.024187548086047173
eqv,False,1,4,1000,32,0.0001,0.034687161445617676,0.03375811502337456,0.025773553177714348,0.03397863730788231,0.037255141884088516,0.037255141884088516
eqv,True,1,4,1000,32,0.0001,0.01814262941479683,0.01752350851893425,0.01213708333671093,0.017603812739253044,0.024044157937169075,0.024044156074523926
fcnn,False,1,4,1000,32,0.0001,0.05860956013202667,0.06270186603069305,0.05747150629758835,0.06360591948032379,0.06015387177467346,0.06743402034044266
fcnn,True,1,4,1000,32,0.0001,0.03510398790240288,0.033435601741075516,0.02269899472594261,0.03742342069745064,0.03198259696364403,0.03405581787228584
fcnn,False,1,16,1000,32,0.0001,0.03410947695374489,0.039766717702150345,0.02516435831785202,0.04245912656188011,0.0316510945558548,0.040253426879644394
fcnn,True,1,16,1000,32,0.0001,0.02365359663963318,0.02259582094848156,0.014906017109751701,0.024204764515161514,0.02625250443816185,0.025557812303304672
eqv,False,1,4,1000,32,0.0001,0.03486640751361847,0.03388911485671997,0.026173878461122513,0.03481696918606758,0.03578798472881317,0.03578798100352287
eqv,True,1,4,1000,32,0.0001,0.01794237084686756,0.017325296998023987,0.011967206373810768,0.01741603948175907,0.02388654835522175,0.02388654835522175
fcnn,False,1,4,1000,32,0.0001,0.11882127821445465,0.11827205866575241,0.09118930250406265,0.12836791574954987,0.11827992647886276,0.12255823612213135
fcnn,True,1,4,1000,32,0.0001,0.028267860412597656,0.026544397696852684,0.022560620680451393,0.0304331723600626,0.02986917644739151,0.028661172837018967
fcnn,False,1,16,1000,32,0.0001,0.03253314644098282,0.03842698037624359,0.026138681918382645,0.04028980806469917,0.03078613430261612,0.038580793887376785
fcnn,True,1,16,1000,32,0.0001,0.022556405514478683,0.02159137837588787,0.01537249330431223,0.023000305518507957,0.025410959497094154,0.024799609556794167
eqv,False,1,4,1000,32,0.0001,0.030601058155298233,0.029709501191973686,0.022192534059286118,0.030069047585129738,0.03318271040916443,0.03318271040916443
eqv,True,1,4,1000,32,0.0001,0.018209267407655716,0.017588652670383453,0.012189441360533237,0.01766933500766754,0.024032380431890488,0.024032382294535637
fcnn,False,1,4,1000,32,0.0001,0.04643279314041138,0.05173030123114586,0.03652077540755272,0.05435667932033539,0.047440383583307266,0.05495699122548103
fcnn,True,1,4,1000,32,0.0001,0.03212956339120865,0.033089663833379745,0.02472209371626377,0.035969145596027374,0.03381951525807381,0.03475761041045189
fcnn,False,1,16,1000,32,0.0001,0.03264839947223663,0.038827892392873764,0.027233147993683815,0.040995627641677856,0.03168867900967598,0.03897327184677124
fcnn,True,1,16,1000,32,0.0001,0.02139461785554886,0.020634694024920464,0.01432851143181324,0.020632844418287277,0.024005930870771408,0.023983223363757133
eqv,False,1,4,1000,32,0.0001,0.07826400548219681,0.07716161757707596,0.06728606671094894,0.07701490074396133,0.08305422961711884,0.08305422961711884
eqv,True,1,4,1000,32,0.0001,0.018242597579956055,0.01762162521481514,0.012218606658279896,0.01770167052745819,0.02403736487030983,0.02403736300766468
fcnn,False,1,4,1000,32,0.0001,0.06188308820128441,0.06385286152362823,0.05290888622403145,0.06574689596891403,0.05316933989524841,0.0662940964102745
fcnn,True,1,4,1000,32,0.0001,0.02432025969028473,0.023362552747130394,0.016538292169570923,0.02375655621290207,0.026117397472262383,0.02577284164726734
fcnn,False,1,16,1000,32,0.0001,0.03274437412619591,0.03879723325371742,0.024907561019062996,0.04146512597799301,0.030240124091506004,0.03876664116978645
fcnn,True,1,16,1000,32,0.0001,0.023360854014754295,0.022259358316659927,0.015675053000450134,0.02315695211291313,0.025351572781801224,0.024892941117286682
eqv,False,1,4,1000,32,0.0001,0.03703146427869797,0.03597935289144516,0.027954405173659325,0.0372641384601593,0.0373803973197937,0.0373803973197937
eqv,True,1,4,1000,32,0.0001,0.018299506977200508,0.01767563447356224,0.012253854423761368,0.01776263676583767,0.023940736427903175,0.023940738290548325
fcnn,False,1,4,1000,32,0.0001,0.12571343779563904,0.12690213322639465,0.12222816795110703,0.12888216972351074,0.12087684869766235,0.12828651070594788
fcnn,True,1,4,1000,32,0.0001,0.029211364686489105,0.02914402261376381,0.02542940527200699,0.03177075833082199,0.0323956236243248,0.03072821907699108
