sample_number,x1,y1,x2,y2,MFC6,MFC7,MFC8,MFC9,MFC10,MFC1,MFC2,MFC3,MFC4,MFC5,total flow rate,Comments,mfc10_residual,Day,number of leakage,quality
0,11930,3100,,,0,0.0169,0.035,0.0995,0.0812,0,0.0129,0.0306,0.0686,0.062,0.4067,observed residual leakage of 0.0255 on port 10,0.0255,1,1,
1,11930,3100,930,100,0.0594,0.0518,0.0497,0.1045,0.085,0.1861,0.0603,0.047,0.0741,0.0642,0.7821,,0.0255,1,2,
2,930,100,,,0.0549,0.0412,0.0213,0.0124,0.0292,0.1815,0.0516,0.0213,0.0131,0.009,0.4355,,0.0255,1,1,
3,930,100,9930,850,0.067,0.0686,0.0696,0.0683,0.0592,0.194,0.084,0.1669,0.1477,0.0492,0.9745,,0.0255,1,2,
4,9930,850,,,0.0187,0.037,0.0554,0.0622,0.0574,0.0187,0.0404,0.1504,0.1399,0.0459,0.626,,0.0255,1,1,
5,9930,850,4930,2350,0.1244,0.1594,0.1167,0.0856,0.0667,0.1394,0.1784,0.2134,0.1632,0.056,1.3032,,0.0255,1,2,
6,4930,2350,,,0.109,0.1293,0.0684,0.0312,0.0367,0.1228,0.1433,0.0692,0.0306,0.0159,0.7564,,0.0255,1,1,
7,4930,2350,9180,4600,0.1159,0.153,0.1864,0.0809,0.0487,0.129,0.156,0.094,0.0536,0.0282,1.0457,,0.0255,1,2,
8,9180,4600,,,0.0235,0.0437,0.1338,0.0626,0.0442,0.0223,0.0292,0.0363,0.0341,0.0222,0.4519,,0.0255,1,1,
9,9180,4600,6180,1600,0.0426,0.0768,0.1576,0.0723,0.0467,0.0491,0.1029,0.0804,0.0466,0.0255,0.7005,,0.0255,1,2,
10,6180,1600,,,0.0351,0.0517,0.0381,0.0213,0.0331,0.0425,0.0892,0.0548,0.0226,0.012,0.4004,,0.0255,1,1,
11,6180,1600,14680,3100,0.0355,0.054,0.0463,0.0577,0.1642,0.0429,0.0913,0.0631,0.0535,0.1134,0.7219,,0.0255,1,2,
13,14680,3100,9680,350,0.0103,0.0217,0.0328,0.0618,0.1675,0.009,0.0227,0.0877,0.082,0.119,0.6145,,0.0255,1,2,
14,9680,350,,,0.0108,0.0204,0.0255,0.0275,0.0403,0.0094,0.0214,0.0795,0.0524,0.0214,0.3086,,0.0255,1,1,
15,9680,350,5930,1850,0.0422,0.0655,0.0545,0.0378,0.0409,0.0499,0.0978,0.1199,0.0638,0.0234,0.5957,,0.0255,1,2,
16,5930,1850,,,0.0406,0.0585,0.0404,0.0218,0.0341,0.0478,0.0872,0.0502,0.0223,0.0124,0.4153,,0.0255,1,1,
17,5930,1850,6180,3600,0.0643,0.1468,0.1125,0.0392,0.0381,0.0666,0.1135,0.076,0.0355,0.0174,0.7099,,0.0255,1,2,
18,6180,3600,,,0.0332,0.101,0.0821,0.0262,0.0342,0.0262,0.0361,0.0326,0.0213,0.0124,0.4053,,0.0255,1,1,
19,6180,3600,9430,4350,0.0406,0.1249,0.1785,0.0869,0.0512,0.0327,0.0505,0.0614,0.0494,0.026,0.7021,,0.0255,1,2,
20,9430,4350,,,0.0172,0.037,0.1072,0.0693,0.0455,0.0152,0.0246,0.03555,0.0355,0.0222,0.40925,,0.0255,1,1,
21,9430,4350,2180,3350,0.1339,0.0903,0.1251,0.0747,0.0468,0.1088,0.0713,0.0532,0.0414,0.024,0.7695,,0.0255,1,2,
22,2180,3350,,,0.1256,0.0654,0.027,0.0135,0.0306,0.1015,0.0562,0.0247,0.0137,0,0.4582,,0.0255,1,1,
23,2180,3350,5180,2350,0.1644,0.1157,0.0525,0.0215,0.0306,0.146,0.115,0.0524,0.0218,0.0089,0.7288,,0.0255,1,2,
24,5180,2350,,,0.048,0.0618,0.0343,0.0169,0.0311,0.0525,0.0676,0.0347,0.0169,0.009,0.3728,,0.0255,1,1,
25,5180,2350,4180,4850,0.1507,0.1512,0.0569,0.0235,0.0321,0.091,0.0988,0.0509,0.023,0.0108,0.6889,,0.0255,1,2,
26,4180,4850,,,0.1113,0.1012,0.0311,0.0147,0.0307,0.0451,0.04,0.0227,0.0138,0.0019,0.4125,,0.0255,1,1,
27,4180,4850,1430,4850,,,,,,,,,,,0,outside,0.0255,1,2,
28,1430,4850,,,,,,,,,,,,,0,outside,0.0255,1,1,
29,1430,4850,11930,3850,,,,,,,,,,,0,outside,0.0255,1,2,
30,11930,3850,,,0.0037,0.0166,0.028,0.1101,0.0728,0,0.0135,0.0206,0.039,0.039,0.3433,,0.0255,1,1,
31,11930,3850,4680,100,0.0364,0.0431,0.0424,0.1154,0.075,0.0739,0.1415,0.0431,0.0457,0.0413,0.6578,,0.0255,1,2,
33,4680,100,6180,850,0.0566,0.0685,0.0455,0.0235,0.0323,0.1046,0.2382,0.0785,0.0269,0.0114,0.686,unable to close the leakage on wrinkle,0.0255,1,2,
34,6180,850,,,0.0274,0.0387,0.0291,0.0165,0.03,0.0342,0.0997,0.0521,0.0183,0.0092,0.3552,Observed residual leakage of 0.0238 on port 10,0.0238,2,1,
35,6180,850,12930,4350,0.0297,0.0451,0.0475,0.1244,0.1352,0.0366,0.1051,0.0669,0.0556,0.0651,0.7112,,0.0238,2,2,
36,12930,4350,,,0.01,0.0168,0.0255,0.1135,0.1317,0,0.0107,0.0194,0.0423,0.0598,0.4297,,0.0238,2,1,
37,12930,4350,4930,4850,0.067,0.1337,0.0477,0.119,0.1334,0.0313,0.0323,0.0329,0.0477,0.0616,0.7066,,0.0238,2,2,
38,4930,4850,,,0.0653,0.1279,0.0308,0.0129,0.0305,0.0301,0.0284,0.0191,0.0117,0,0.3567,,0.0238,2,1,
39,4930,4850,9930,3600,0.073,0.1483,0.0911,0.0796,0.0508,0.0377,0.0425,0.0519,0.0478,0.0282,0.6509,,0.0238,2,2,
40,9930,3600,,,0.0118,0.0273,0.0657,0.0718,0.0484,0,0.0169,0.0356,0.0408,0.0252,0.3435,,0.0238,2,1,
41,9930,3600,430,100,0.0553,0.0554,0.0776,0.0762,0.0506,0.1631,0.0546,0.049,0.0455,0.0271,0.6544,,0.0238,2,2,
42,430,100,,,0.047,0.0342,0.0165,0,0.0288,0.1553,0.0396,0.0156,0.0017,0,0.3387,,0.0238,2,1,
43,430,100,14430,2350,0.0479,0.0367,0.0244,0.0404,0.1128,0.1562,0.042,0.0242,0.0422,0.1276,0.6544,,0.0238,2,2,
44,14430,2350,,,0,0.0117,0.0147,0.037,0.1111,0,0,0.0128,0.0386,0.1256,0.3515,,0.0238,2,1,
45,14430,2350,7930,100,0.0151,0.0286,0.0347,0.0505,0.1168,0.0155,0.0471,0.1561,0.0592,0.1326,0.6562,,0.0238,2,2,
46,7930,100,,,0.0163,0.0274,0.0274,0.0197,0.0339,0.0171,0.0458,0.1469,0.0262,0.0117,0.3724,,0.0238,2,1,
47,7930,100,13180,2600,0.018,0.0324,0.0414,0.0694,0.1045,0.0186,0.0502,0.1608,0.0769,0.095,0.6672,,0.0238,2,2,
48,13180,2600,,,0,0.0126,0.0195,0.055,0.0986,0,0,0.0171,0.0556,0.0871,0.3455,,0.0238,2,1,
49,13180,2600,15680,850,,,,,,,,,,,0,outside,0.0238,2,2,
50,15680,850,,,,,,,,,,,,,0,outside,0.0238,2,1,
51,15680,850,12680,2850,,,,,,,,,,,0,outside,0.0238,2,2,
52,12680,2850,,,0,0.0126,0.0224,0.0676,0.0932,0,0,0.0195,0.0581,0.0713,0.3447,,0.0238,2,1,
53,12680,2850,180,600,,,,,,,,,,,0,outside,0.0238,2,2,
54,180,600,,,,,,,,,,,,,0,outside,0.0238,2,1,
55,180,600,9180,100,,,,,,,,,,,0,outside,0.0238,2,2,
56,9180,100,,,,,,,,,,,,,0,outside,0.0238,2,1,
57,9180,100,9680,1350,,,,,,,,,,,0,outside,0.0238,2,2,
58,9680,1350,,,0.0108,0.0244,0.0385,0.0409,0.0457,0,0.023,0.0898,0.0754,0.0277,0.3762,,0.0238,2,1,
59,9680,1350,13180,2100,0.0145,0.031,0.0528,0.0834,0.1055,0.0123,0.0287,0.1058,0.1346,0.1236,0.6922,,0.0238,2,2,
60,13180,2100,,,0,0.0129,0.0188,0.0474,0.0881,0,0.0084,0.0179,0.0635,0.1002,0.3572,,0.0238,2,1,
61,13180,2100,3930,4350,0.1035,0.0806,0.0385,0.0536,0.0901,0.0436,0.037,0.0332,0.0696,0.1028,0.6525,,0.0238,2,2,
62,3930,4350,,,0.1015,0.0755,0.0258,0.0119,0.0306,0.0416,0.0329,0.0184,0.0111,0,0.3493,,0.0238,2,1,
