sample_number,MFC6,MFC7,MFC8,MFC9,MFC10,MFC1,MFC2,MFC3,MFC4,MFC5
536.0,0.0462,0.0356,0.0201,0.011,0.0205,0.1775,0.0444,0.0177,0.011,0.0
332.0,0.0649,0.068,0.0296,0.0142,0.0271,0.0607,0.0557,0.0278,0.0136,0.0
206.0,0.0368,0.0468,0.0283,0.0161,0.0282,0.049,0.0845,0.0378,0.0162,0.0
208.0,0.0989,0.052,0.0214,0.0119,0.0264,0.084,0.0431,0.0193,0.0111,0.0
,0.0,0.0,0.0103,0.0306,0.0764,0.0,0.0,0.0108,0.0349,0.1878
336.0,0.0166,0.0226,0.0156,0.0107,0.0273,0.0231,0.1934,0.0272,0.0115,0.0
804.0,0.0128,0.0219,0.0359,0.0458,0.0408,0.0121,0.0214,0.0502,0.0858,0.035
1310.0,0.1052,0.0587,0.0246,0.01,0.0,0.1078,0.0573,0.0238,0.0094,0.0
184.0,0.0209,0.0513,0.0896,0.0388,0.0364,0.0177,0.0301,0.0399,0.0289,0.0171
666.0,0.0533,0.0891,0.0429,0.0171,0.0227,0.0431,0.0504,0.0312,0.0158,0.0087
568.0,0.0636,0.043,0.0219,0.0111,0.0219,0.1278,0.0472,0.0191,0.0111,0.0
254.0,0.0123,0.025,0.0441,0.0601,0.05,0.0116,0.0216,0.0494,0.0699,0.0345
,0.0,0.0,0.0128,0.0393,0.1156,0.0,0.0,0.0131,0.0382,0.1352
196.0,0.0376,0.0897,0.0587,0.0227,0.0306,0.0303,0.0407,0.0342,0.0192,0.0112
214.0,0.1111,0.0546,0.0216,0.0115,0.0274,0.0559,0.0362,0.0178,0.0111,0.0
,0.0,0.0,0.0125,0.0382,0.1682,0.0,0.0,0.012,0.0317,0.0912
1238.0,0.0541,0.0891,0.0481,0.0161,0.0,0.0483,0.0641,0.0405,0.0154,0.0
392.0,0.0,0.0146,0.0249,0.0988,0.0905,0.0,0.0107,0.0201,0.0452,0.0523
106.0,0.0116,0.0217,0.0343,0.0447,0.0486,0.0107,0.0209,0.0635,0.0981,0.036
,0.044,0.0342,0.0162,0.0,0.0,0.1652,0.0553,0.0182,0.0,0.0
,0.0,0.0103,0.0195,0.084,0.1371,0.0,0.0088,0.0169,0.0391,0.0622
,0.0,0.0,0.011,0.0383,0.1158,0.0,0.0,0.0114,0.0384,0.1511
