MFC6,MFC7,MFC8,MFC9,MFC10,MFC1,MFC2,MFC3,MFC4,MFC5,total flow rate,mfc6_residual,mfc7_residual,mfc8_residual,mfc9_residual,mfc10_residual,mfc1_residual,mfc2_residual,mfc3_residual,mfc4_residual,mfc5_residual,tot_residual_flow
0.0162,0.0379,0.0841,0.0656,0.0375,0.0144,0.028,0.0495,0.0452,0.0237,0.4021,0,0.0,0.0,0.0,0.0161,0.0,0.0,0.0,0.0,0.0,0.0161
0.009,0.0158,0.021,0.037,0.0522,0.0,0.0131,0.0241,0.1137,0.0758,0.3617,0,0.0,0.0,0.0,0.0167,0.0,0.0,0.0,0.0,0.0,0.0167
0.0,0.0107,0.014,0.0315,0.1012,0.0,0.0084,0.0103,0.0332,0.1488,0.3581,0,0.01,0.0,0.0,0.0173,0.0,0.0,0.0,0.0,0.0,0.0273
0.0,0.0,0.0128,0.0393,0.1156,0.0,0.0,0.0131,0.0382,0.1352,0.3542,0,0.0108,0.0024,0.0,0.0108,0.0,0.0094,0.0,0.0,0.0,0.0334
0.0452,0.1462,0.0534,0.0106,0.0,0.0274,0.0372,0.0257,0.0,0.0,0.3457,0,0.0135,0.0113,0.0096,0.0139,0.0,0.012,0.0091,0.0106,0.0101,0.0901
0.0134,0.0369,0.0918,0.0473,0.0353,0.0119,0.0218,0.0347,0.0302,0.0172,0.3405,0,0.0,0.0,0.0,0.0218,0.0,0.0,0.0,0.0,0.0,0.0218
0.1301,0.0675,0.0246,0.0089,0.0,0.0607,0.0441,0.0208,0.0,0.0,0.3567,0,0.0108,0.0024,0.0,0.0108,0.0,0.0094,0.0,0.0,0.0,0.0334
0.0124,0.0208,0.0286,0.0433,0.0445,0.0126,0.0187,0.0367,0.1118,0.0452,0.3746,0,0.0,0.0,0.0,0.0167,0.0,0.0,0.0,0.0,0.0,0.0167
0.0,0.0124,0.0188,0.0446,0.0694,0.0,0.0114,0.0208,0.0665,0.1544,0.3983,0,0.0135,0.0113,0.0096,0.0139,0.0,0.012,0.0091,0.0106,0.0101,0.0901
0.0,0.0104,0.0136,0.0377,0.1755,0.0,0.009,0.0132,0.0315,0.0891,0.38,0,0.0108,0.0024,0.0,0.0108,0.0,0.0094,0.0,0.0,0.0,0.0334
0.16,0.0574,0.0215,0.0,0.0,0.0615,0.0411,0.0186,0.0,0.0,0.3601,0,0.0108,0.0024,0.0,0.0108,0.0,0.0094,0.0,0.0,0.0,0.0334
0.0507,0.0419,0.0214,0.0115,0.0259,0.1162,0.0592,0.021,0.0106,0.0,0.3584,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.1063,0.1217,0.0373,0.0163,0.0114,0.0505,0.0478,0.0282,0.0147,0.0087,0.4429,0,0.0117,0.0,0.0,0.0011,0.0036,0.0131,0.0,0.0,0.0,0.0295
0.04,0.1548,0.0595,0.0178,0.023,0.0289,0.0346,0.0271,0.0164,0.0097,0.4118,0,0.0,0.0,0.0,0.0152,0.0,0.0,0.0,0.0,0.0,0.0152
0.0351,0.0517,0.0381,0.0213,0.0331,0.0425,0.0892,0.0548,0.0226,0.012,0.4004,0,0.0,0.0,0.0,0.0255,0.0,0.0,0.0,0.0,0.0,0.0255
0.1694,0.0649,0.0245,0.0115,0.0096,0.0605,0.0456,0.0221,0.0106,0.0,0.4187,0,0.0117,0.0,0.0,0.0011,0.0036,0.0131,0.0,0.0,0.0,0.0295
0.0,0.0118,0.0132,0.0291,0.1112,0.0,0.01,0.01,0.0298,0.1495,0.3646,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0507,0.037,0.0182,0.0,0.0,0.1657,0.0487,0.0188,0.0,0.0,0.3391,0,0.0108,0.0024,0.0,0.0108,0.0,0.0094,0.0,0.0,0.0,0.0334
0.0,0.0117,0.0169,0.0466,0.1495,0.0,0.0095,0.0151,0.0391,0.0984,0.3868,0,0.0,0.0,0.0,0.02465,0.0,0.0,0.0,0.0,0.0,0.02465
0.1696,0.0577,0.0217,0.011,0.0247,0.0394,0.0289,0.0163,0.0108,0.0,0.3801,0,0.0,0.0,0.0,0.0218,0.0,0.0,0.0,0.0,0.0,0.0218
0.0111,0.0184,0.0277,0.0872,0.1104,0.0105,0.015,0.0215,0.0534,0.0725,0.4277,0,0.01,0.0,0.0,0.0173,0.0,0.0,0.0,0.0,0.0,0.0273
0.0483,0.0361,0.0189,0.0103,0.0268,0.1541,0.0424,0.0164,0.0111,0.0,0.3644,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.1435,0.0482,0.0208,0.0117,0.0276,0.0491,0.0324,0.0169,0.0114,0.0,0.3616,0,0.0,0.0,0.0,0.0218,0.0,0.0,0.0,0.0,0.0,0.0218
0.0121,0.0307,0.0753,0.0988,0.0505,0.0121,0.0215,0.0377,0.0453,0.0292,0.4132,0,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0238
0.0,0.0134,0.0179,0.0536,0.1474,0.0,0.0111,0.0144,0.034,0.0679,0.3597,0,0.0,0.0,0.0,0.0161,0.0,0.0,0.0,0.0,0.0,0.0161
