x1,y1
9430,3350
12430,1100
15180,2100
15430,2600
5930,4350
8930,3850
3180,4100
11430,1600
13680,1600
15930,4350
2180,4350
3180,1350
4430,4850
6180,4600
6180,1600
2930,4350
15930,2100
1180,350
14430,3100
3180,4850
12930,3350
930,600
2430,4350
10180,3850
13930,3600
7930,100
9680,3350
4680,2100
8680,2850
2180,100
10180,4600
5180,2350
5680,100
14930,3850
7180,2350
4680,1850
9180,2100
2430,3600
14680,1100
6680,1100
5930,100
7680,2850
10930,4600
1430,350
2930,1600
13430,4350
4430,2850
1680,2600
7430,2850
2430,3100
4680,2350
12430,4100
3180,4350
4930,4600
12930,2100
5430,3100
9180,4850
14430,1600
15180,4100
11930,3100
11930,600
2930,1850
2930,2600
8680,3350
3930,3850
15680,2850
5430,5100
680,1100
1430,100
15680,1600
14180,3350
14930,2600
2180,3850
5430,3600
4430,4350
5680,2850
1180,1600
430,350
13680,3100
6180,3100
14680,3850
4680,850
6680,3350
7930,350
15680,3350
12430,3350
12680,2350
2680,2350
3430,2600
4180,850
7180,1100
3930,600
6430,2350
6430,1100
1930,850
4180,4600
10430,1100
14430,1350
6930,600
5430,4850
11430,1850
680,100
13430,2600
12680,4600
11680,1100
15930,3350
11430,4600
11930,1600
4930,3100
1680,3350
7430,4350
12180,3850
13680,3350
3680,5100
12430,3600
2930,5100
3430,5100
7430,2600
14180,2100
4430,3850
2430,1850
6180,3600
4180,1850
6180,850
3680,850
15680,2100
1430,2100
12180,600
4180,3850
3430,3100
9430,4350
2430,4100
13930,4350
4930,3850
14680,2600
8930,4100
3930,1850
5930,350
9680,1600
1430,2600
1930,3350
14680,2350
15430,3850
13180,2600
8680,850
12680,2600
6680,2100
4180,2350
7180,4350
10430,4350
11430,4100
7680,3100
5180,4600
8930,1600
9680,850
9430,850
13930,3850
3930,1350
8930,850
6430,4100
7680,4850
6930,4600
1680,1350
4680,5100
2430,850
680,350
2930,2350
5930,3350
2680,5100
9180,350
7680,3350
7680,2100
4680,3600
12180,1100
10180,350
5680,2600
9430,1600
2180,2850
10680,4100
6430,100
13930,1850
3930,2850
7680,4100
9680,4850
1430,1100
9430,4100
8180,2850
15430,4350
6680,350
4930,1850
12180,3350
12680,1850
13930,850
8430,3600
3180,350
8930,3600
9180,1100
8430,600
9430,3600
3680,3350
13430,3100
6430,4600
5430,4600
2680,100
4180,5100
9180,4600
13680,2100
7680,1100
11430,3100
7680,600
4180,1100
15680,1350
15430,1600
2180,1850
11930,3850
8930,600
8430,2100
1680,1100
12180,2600
8430,4350
5430,4100
8180,1100
930,100
4430,4600
2680,4100
2930,1100
2180,3350
4930,1600
6180,2600
15930,3100
11680,2350
4930,2850
13680,850
2180,2350
1930,2100
10180,2850
11180,1600
12430,4600
2930,600
5930,4600
11180,2350
4430,1600
9180,2350
8430,4100
8180,2100
11930,4100
3180,1600
10430,1350
9930,3600
10930,2100
2930,3850
3680,2350
11930,4600
10430,1850
13430,1600
180,100
4430,4100
9930,1850
1430,600
15430,1850
4680,350
8930,2100
2680,2850
680,600
13180,2850
4930,4350
11430,2600
3930,4350
14930,3600
9680,600
5430,1850
930,1100
13180,4100
13680,3850
3680,4600
9430,2850
8930,3100
2680,3850
6930,1850
10180,4350
4930,100
15180,3350
5430,3350
14180,4350
15680,1100
8180,3600
2180,2100
2430,350
5680,1100
14930,1600
2430,1350
9430,3850
4430,1100
13680,2600
2430,4600
15180,1600
5430,1600
6930,3600
3430,2100
3930,3600
7680,1350
6930,5100
15680,4350
15430,1100
2180,600
8680,2600
4680,2850
15680,4100
3430,3850
15430,3350
5180,1600
430,100
10680,4350
1180,2350
12680,850
15180,3850
4430,3350
8680,3850
1180,1100
6680,2350
7430,3600
680,600
