Unnamed: 0,model_name,Augmentation,Residual_subtract,mfc_sum_scaler,blind_flip,loss_train,metric_train,loss_val,metric_val,loss_test,metric_test
,linear_regression,True,True,True,True,0.0254,0.1072,0.0261,0.115,0.0759,0.1413
,nn_linear_regression_0,True,True,True,True,0.0256,0.1071,0.0267,0.1165,0.0758,0.1417
,nn_hyper_model_0,True,True,True,True,0.4664,0.5426,0.4237,0.5153,0.4622,0.5331
,linear_regression,True,True,True,False,0.0254,0.1072,0.0261,0.115,0.0759,0.1413
,nn_linear_regression_0,True,True,True,False,0.0256,0.107,0.0267,0.1158,0.0773,0.1428
,nn_hyper_model_0,True,True,True,False,0.627,0.6537,0.7315,0.6974,0.6629,0.6725
,linear_regression,True,True,False,True,0.0254,0.1072,0.0261,0.115,0.0759,0.1413
,nn_linear_regression_0,True,True,False,True,0.0256,0.1069,0.0266,0.1159,0.0772,0.1423
,nn_hyper_model_0,True,True,False,True,0.9564,0.8365,1.0892,0.8992,1.0877,0.9033
,linear_regression,True,True,False,False,0.0254,0.1072,0.0261,0.115,0.0759,0.1413
,nn_linear_regression_0,True,True,False,False,0.0256,0.1069,0.0267,0.1157,0.0767,0.1425
,nn_hyper_model_0,True,True,False,False,0.9849,0.8493,1.1261,0.9139,1.1235,0.9224
,linear_regression,True,False,True,True,0.0254,0.1072,0.0261,0.115,0.0759,0.1413
,nn_linear_regression_0,True,False,True,True,0.0255,0.1074,0.0268,0.1156,0.0775,0.1432
,nn_hyper_model_0,True,False,True,True,1.1446,0.9005,1.3386,0.982,1.3015,0.988
,linear_regression,True,False,True,False,0.0254,0.1072,0.0261,0.115,0.0759,0.1413
,nn_linear_regression_0,True,False,True,False,0.0256,0.1075,0.0269,0.1159,0.0772,0.1429
,nn_hyper_model_0,True,False,True,False,0.6448,0.6638,0.6655,0.6815,0.7265,0.7157
,linear_regression,True,False,False,True,0.0254,0.1072,0.0261,0.115,0.0759,0.1413
,nn_linear_regression_0,True,False,False,True,0.0256,0.107,0.0265,0.1163,0.0777,0.1431
,nn_hyper_model_0,True,False,False,True,0.2532,0.4185,0.2823,0.4417,0.2903,0.4613
,linear_regression,True,False,False,False,0.0254,0.1072,0.0261,0.115,0.0759,0.1413
,nn_linear_regression_0,True,False,False,False,0.0256,0.1068,0.0265,0.1157,0.078,0.1429
,nn_hyper_model_0,True,False,False,False,0.2757,0.4074,0.2783,0.4364,0.3793,0.4766
,linear_regression,False,True,True,True,0.0254,0.1072,0.0261,0.115,0.0759,0.1413
,nn_linear_regression_0,False,True,True,True,0.0256,0.1072,0.0268,0.1158,0.0783,0.1434
,nn_hyper_model_0,False,True,True,True,0.8965,0.8014,1.024,0.864,1.0126,0.8658
,linear_regression,False,True,True,False,0.0254,0.1072,0.0261,0.115,0.0759,0.1413
,nn_linear_regression_0,False,True,True,False,0.0256,0.107,0.0267,0.1157,0.0766,0.1419
,nn_hyper_model_0,False,True,True,False,0.8543,0.7766,0.942,0.8232,0.9585,0.8174
,linear_regression,False,True,False,True,0.0254,0.1072,0.0261,0.115,0.0759,0.1413
,nn_linear_regression_0,False,True,False,True,0.0256,0.1065,0.0266,0.1157,0.0757,0.1413
,nn_hyper_model_0,False,True,False,True,0.4003,0.5035,0.4425,0.5488,0.4287,0.5209
,linear_regression,False,True,False,False,0.0254,0.1072,0.0261,0.115,0.0759,0.1413
,nn_linear_regression_0,False,True,False,False,0.0257,0.1078,0.0269,0.1168,0.0718,0.1404
,nn_hyper_model_0,False,True,False,False,0.3561,0.4546,0.428,0.5132,0.4604,0.5095
,linear_regression,False,False,True,True,0.0254,0.1072,0.0261,0.115,0.0759,0.1413
,nn_linear_regression_0,False,False,True,True,0.0256,0.1069,0.0266,0.1155,0.0763,0.1423
,nn_hyper_model_0,False,False,True,True,0.2814,0.4088,0.2773,0.4279,0.3506,0.4484
,linear_regression,False,False,True,False,0.0254,0.1072,0.0261,0.115,0.0759,0.1413
,nn_linear_regression_0,False,False,True,False,0.0256,0.1072,0.0268,0.1162,0.0771,0.1425
,nn_hyper_model_0,False,False,True,False,0.6584,0.668,0.7103,0.7189,0.8117,0.7717
,linear_regression,False,False,False,True,0.0254,0.1072,0.0261,0.115,0.0759,0.1413
,nn_linear_regression_0,False,False,False,True,0.0256,0.1074,0.0268,0.1162,0.0764,0.1422
,nn_hyper_model_0,False,False,False,True,0.8081,0.7593,1.0303,0.8643,0.9482,0.8301
,linear_regression,False,False,False,False,0.0254,0.1072,0.0261,0.115,0.0759,0.1413
,nn_linear_regression_0,False,False,False,False,    0.0256,    0.1071,    0.0264,    0.1159,    0.0779,    0.1431
,nn_hyper_model_0,False,False,False,False,    0.9630,    0.8489,    1.0340,    0.8946,    1.1126,    0.9327
