Unnamed: 0,model_name,Augmentation,residual_subtract,blind_flip,tot_flow,res_flow,tot_resflow,loss_train,metric_train,loss_val,metric_val,loss_test,metric_test
,linear_regression,True,True,True,True,True,True,0.0273,0.1113,0.0253,0.1136,0.0347,0.1344
,nn_linear_regression_0,True,True,True,True,True,True,0.0291,0.1151,0.0254,0.1166,0.0348,0.1351
,nn_hyper_model0,True,True,True,True,True,True,0.017,0.0943,0.0204,0.1023,0.0262,0.1114
,linear_regression,True,True,True,True,True,False,0.0273,0.1113,0.0253,0.1136,0.0347,0.1344
,nn_linear_regression_0,True,True,True,True,True,False,0.0306,0.1184,0.0255,0.1179,0.0337,0.1344
,nn_hyper_model0,True,True,True,True,True,False,0.0134,0.0849,0.0165,0.0994,0.0213,0.1018
,linear_regression,True,True,True,False,True,True,0.0273,0.1113,0.0253,0.1136,0.0347,0.1344
,nn_linear_regression_0,True,True,True,False,True,True,0.0289,0.1147,0.0259,0.1159,0.0352,0.1347
,nn_hyper_model0,True,True,True,False,True,True,0.0336,0.1256,0.0257,0.1138,0.0405,0.1427
,linear_regression,True,True,True,False,True,False,0.029,0.1164,0.0261,0.1199,0.0365,0.1408
,nn_linear_regression_0,True,True,True,False,True,False,0.0309,0.1196,0.0267,0.1207,0.0366,0.1395
,nn_hyper_model0,True,True,True,False,True,False,0.0493,0.1785,0.045,0.175,0.054,0.1807
,linear_regression,True,True,False,True,True,True,0.0273,0.1113,0.0253,0.1136,0.0347,0.1344
,nn_linear_regression_0,True,True,False,True,True,True,0.0295,0.1157,0.025,0.1154,0.0347,0.1345
,nn_hyper_model0,True,True,False,True,True,True,0.0066,0.0639,0.0227,0.1124,0.0216,0.1121
,linear_regression,True,True,False,True,True,False,0.0273,0.1113,0.0253,0.1136,0.0347,0.1344
,nn_linear_regression_0,True,True,False,True,True,False,0.0296,0.1148,0.0239,0.1115,0.0339,0.1337
,nn_hyper_model0,True,True,False,True,True,False,0.0034,0.0399,0.0269,0.1152,0.0247,0.1109
,linear_regression,True,True,False,False,True,True,0.0273,0.1113,0.0253,0.1136,0.0347,0.1344
,nn_linear_regression_0,True,True,False,False,True,True,0.029,0.1148,0.0256,0.1151,0.0351,0.1341
,nn_hyper_model0,True,True,False,False,True,True,0.0071,0.0598,0.0208,0.1014,0.0203,0.1036
,linear_regression,True,True,False,False,True,False,0.029,0.1164,0.0261,0.1199,0.0365,0.1408
,nn_linear_regression_0,True,True,False,False,True,False,0.0308,0.1197,0.0265,0.1203,0.0371,0.1397
,nn_hyper_model0,True,True,False,False,True,False,0.0046,0.0437,0.0159,0.0932,0.019,0.0993
,linear_regression,True,False,True,True,True,True,0.0241,0.1046,0.0206,0.0998,0.028,0.1199
,nn_linear_regression_0,True,False,True,True,True,True,0.0266,0.1113,0.0217,0.1049,0.0267,0.1147
,nn_hyper_model0,True,False,True,True,True,True,0.0125,0.0836,0.0293,0.1185,0.0354,0.1371
,linear_regression,True,False,True,True,True,False,0.0241,0.1046,0.0205,0.0995,0.028,0.12
,nn_linear_regression_0,True,False,True,True,True,False,0.0266,0.1115,0.0217,0.1043,0.0271,0.1157
,nn_hyper_model0,True,False,True,True,True,False,0.02,0.1036,0.0352,0.1449,0.0561,0.1733
,linear_regression,True,False,True,True,False,True,0.0294,0.1195,0.0248,0.1177,0.0339,0.1367
,nn_linear_regression_0,True,False,True,True,False,True,0.0322,0.1265,0.0245,0.1162,0.0346,0.1385
,nn_hyper_model0,True,False,True,True,False,True,0.0266,0.118,0.0339,0.1384,0.0517,0.1711
,linear_regression,True,False,True,True,False,False,0.0309,0.1229,0.0237,0.1149,0.0339,0.1367
,nn_linear_regression_0,True,False,True,True,False,False,0.0332,0.128,0.0229,0.1115,0.0332,0.1357
,nn_hyper_model0,True,False,True,True,False,False,0.0067,0.0567,0.0219,0.0952,0.0252,0.1083
,linear_regression,True,False,True,False,True,True,0.0241,0.1044,0.0206,0.0994,0.0279,0.1193
,nn_linear_regression_0,True,False,True,False,True,True,0.0264,0.1115,0.0214,0.1034,0.0274,0.116
,nn_hyper_model0,True,False,True,False,True,True,0.0141,0.079,0.029,0.1113,0.0377,0.1287
,linear_regression,True,False,True,False,True,False,0.0241,0.1044,0.0206,0.0994,0.0279,0.1193
,nn_linear_regression_0,True,False,True,False,True,False,0.0264,0.1114,0.0225,0.1048,0.0286,0.1188
,nn_hyper_model0,True,False,True,False,True,False,0.0071,0.0615,0.0244,0.1078,0.0298,0.1178
,linear_regression,True,False,True,False,False,True,0.0294,0.1195,0.0248,0.1177,0.0339,0.1367
,nn_linear_regression_0,True,False,True,False,False,True,0.0311,0.1238,0.0248,0.1173,0.034,0.1364
,nn_hyper_model0,True,False,True,False,False,True,0.0058,0.0506,0.019,0.0984,0.0244,0.1083
,linear_regression,True,False,True,False,False,False,0.0309,0.1229,0.0237,0.1149,0.0339,0.1367
,nn_linear_regression_0,True,False,True,False,False,False,0.0331,0.1278,0.0239,0.1153,0.0341,0.1371
,nn_hyper_model0,True,False,True,False,False,False,0.0037,0.0443,0.0138,0.0859,0.0184,0.0934
,linear_regression,True,False,False,True,True,True,0.0241,0.1046,0.0206,0.0998,0.028,0.1199
,nn_linear_regression_0,True,False,False,True,True,True,0.0267,0.112,0.0209,0.1046,0.0264,0.1138
,nn_hyper_model0,True,False,False,True,True,True,0.0093,0.0734,0.0324,0.133,0.0361,0.1432
,linear_regression,True,False,False,True,True,False,0.0241,0.1046,0.0205,0.0995,0.028,0.12
,nn_linear_regression_0,True,False,False,True,True,False,0.0268,0.1122,0.0217,0.107,0.0262,0.1129
