Unnamed: 0,model_name,Augmentation,residual_subtract,blind_flip,tot_flow,res_flow,tot_resflow,loss_train,metric_train,loss_val,metric_val,loss_test,metric_test
,linear_regression,True,False,True,False,False,False,0.0309,0.1229,0.0237,0.1149,0.0339,0.1367
,nn_linear_regression_0,True,False,True,False,False,False,0.0331,0.1276,0.0239,0.1151,0.0347,0.1385
,nn_hyper_model0,True,False,True,False,False,False,0.0049,0.0544,0.013,0.0817,0.0213,0.1056
,linear_regression,True,False,True,False,False,False,0.0309,0.1229,0.0237,0.1149,0.0339,0.1367
,nn_linear_regression_1,True,False,True,False,False,False,0.0327,0.1271,0.0237,0.1147,0.0338,0.137
,nn_hyper_model1,True,False,True,False,False,False,0.0052,0.0538,0.0156,0.0905,0.0202,0.1013
,linear_regression,True,False,True,False,False,False,0.0309,0.1229,0.0237,0.1149,0.0339,0.1367
,nn_linear_regression_2,True,False,True,False,False,False,0.0331,0.1278,0.0236,0.1145,0.0338,0.1364
,nn_hyper_model2,True,False,True,False,False,False,0.0074,0.0611,0.0183,0.0906,0.0325,0.119
,linear_regression,True,False,True,False,False,False,0.0309,0.1229,0.0237,0.1149,0.0339,0.1367
,nn_linear_regression_3,True,False,True,False,False,False,0.0331,0.1276,0.0237,0.1147,0.034,0.1371
,nn_hyper_model3,True,False,True,False,False,False,0.0096,0.0793,0.0218,0.1097,0.0248,0.1205
,linear_regression,True,False,True,False,False,False,0.0309,0.1229,0.0237,0.1149,0.0339,0.1367
,nn_linear_regression_4,True,False,True,False,False,False,    0.0326,    0.1272,    0.0242,    0.1171,    0.0342,    0.1367
,nn_hyper_model4,True,False,True,False,False,False,    0.0055,    0.0591,    0.0155,    0.0943,    0.0166,    0.0919
