mfc1,mfc2,mfc3,mfc4,mfc5,mfc6,mfc7,mfc8,mfc9,mfc10
0.43705,0.14559,0.05196,0.02826,0.00000,0.12418,0.09991,0.05538,0.00000,0.05766
0.03854,0.07921,0.24668,0.15843,0.06194,0.03987,0.07629,0.10978,0.10154,0.08772
0.00000,0.03520,0.05989,0.13712,0.14395,0.02364,0.04571,0.07959,0.25138,0.22354
0.00000,0.03111,0.05753,0.29850,0.24978,0.00000,0.03728,0.05166,0.10097,0.17317
0.07911,0.23022,0.21445,0.06413,0.03127,0.05992,0.09987,0.08699,0.05414,0.07989
0.07448,0.22398,0.25820,0.06703,0.02944,0.05888,0.09328,0.08778,0.05426,0.05267
0.03119,0.08846,0.25461,0.13893,0.05699,0.03601,0.08109,0.11511,0.09810,0.09952
0.15683,0.15843,0.07735,0.03987,0.02313,0.16241,0.18900,0.09144,0.04067,0.06087
0.04532,0.03874,0.00000,0.00000,0.00000,0.75362,0.06482,0.03030,0.00000,0.06719
0.14083,0.18133,0.09308,0.04533,0.02414,0.12876,0.16577,0.09201,0.04533,0.08342
0.09501,0.11267,0.08184,0.07007,0.00000,0.13341,0.26626,0.11883,0.04652,0.07539
0.10933,0.09697,0.05503,0.03345,0.00461,0.26982,0.24533,0.07539,0.03564,0.07442
0.19740,0.15545,0.06731,0.03320,0.00000,0.20525,0.17205,0.08059,0.03139,0.05735
0.24973,0.15875,0.06290,0.03591,0.00000,0.17090,0.14012,0.06992,0.03483,0.07694
0.32380,0.17273,0.05893,0.02686,0.00000,0.15309,0.12132,0.06008,0.02657,0.05661
0.04222,0.06385,0.08393,0.07441,0.04274,0.04686,0.10582,0.32853,0.13002,0.08162
0.19030,0.21849,0.08864,0.03660,0.00000,0.13771,0.14963,0.07943,0.03578,0.06343
0.06512,0.12996,0.19015,0.08564,0.04022,0.06074,0.12421,0.13680,0.07798,0.08919
0.02928,0.05203,0.09124,0.10963,0.07067,0.02928,0.07430,0.18224,0.23911,0.12222
0.09200,0.40964,0.11595,0.04382,0.01905,0.06805,0.08601,0.06995,0.03702,0.05852
0.00000,0.03569,0.06060,0.19840,0.25484,0.00000,0.04206,0.06226,0.14029,0.20587
0.18004,0.27323,0.08313,0.04157,0.02701,0.10140,0.10961,0.06884,0.03760,0.07757
0.02756,0.04121,0.07118,0.18705,0.16511,0.02917,0.04950,0.07359,0.17875,0.17688
0.10366,0.07603,0.04288,0.02841,0.00000,0.44620,0.15180,0.05709,0.02894,0.06498
0.00000,0.00000,0.03362,0.09085,0.17293,0.00000,0.03119,0.04573,0.15294,0.47274
0.09715,0.16362,0.12971,0.05813,0.03068,0.09526,0.16335,0.12137,0.05974,0.08100
0.00000,0.04336,0.09371,0.22905,0.14173,0.01455,0.04802,0.09022,0.18161,0.15774
0.02599,0.04444,0.09875,0.34433,0.11850,0.02807,0.04912,0.07017,0.10629,0.11435
0.00000,0.03415,0.04672,0.09754,0.12623,0.02541,0.03852,0.06776,0.30492,0.25874
0.07519,0.21402,0.24544,0.06767,0.02981,0.06149,0.09801,0.09103,0.05532,0.06203
0.17941,0.26229,0.09596,0.03664,0.00000,0.12329,0.13638,0.08229,0.03053,0.05321
0.07018,0.08402,0.06581,0.03983,0.02356,0.09713,0.37591,0.14449,0.04322,0.05585
0.00000,0.02749,0.04410,0.06959,0.06157,0.00000,0.04009,0.07474,0.54782,0.13459
0.09112,0.27645,0.19424,0.04929,0.02692,0.06917,0.10313,0.08718,0.04908,0.05343
mfc1,mfc2,mfc3,mfc4,mfc5,mfc6,mfc7,mfc8,mfc9,mfc10
2426,5480,8661,11676,13976,2603,5723,8417,11646,14641
70,70,191,584,917,5163,5163,5103,4740,4391
