mean x coords,std x coords,mean y coords,std y coords
14190.547,8747.612,1757.892,2694.965
2713.714,8803.316,541.867,2687.388
9227.333,8595.127,1442.235,2663.643
12520.39,8637.999,3586.223,2650.605
12730.919,8713.179,896.493,2696.642
15072.004,8794.983,2597.69,2675.173
6766.506,8617.697,595.566,2693.356
6885.561,8666.195,156.396,2762.078
8943.235,8605.452,1403.028,2674.671
4678.71,8630.066,2789.749,2634.67
-1732.755,9545.239,6019.958,3000.423
5156.919,8638.614,2161.059,2645.707
5542.582,8605.143,3565.48,2663.649
1981.098,8771.45,1887.268,2664.337
3931.597,8756.114,4823.617,2807.478
1647.887,8894.004,510.828,2717.444
3571.176,8687.361,2808.546,2644.873
3511.654,8655.074,2109.558,2652.195
3302.013,8687.078,1494.337,2672.368
8988.661,8634.467,4406.427,2680.995
4564.368,8627.081,1849.569,2649.06
14946.229,8783.92,2309.938,2678.071
15544.696,8867.695,2044.541,2701.087
7664.309,8595.395,2075.416,2653.222
14520.987,8848.519,1062.136,2722.236
10198.452,8607.152,4060.066,2662.755
5826.464,8653.453,312.31,2725.423
12742.174,8628.016,1951.982,2672.53
4812.129,8626.068,815.107,2662.994
14743.278,8819.518,1307.368,2729.56
11870.569,8614.812,2525.699,2635.912
15699.683,8908.017,4083.502,2700.911
1658.882,9027.654,4822.948,2810.1
14274.745,8728.4,4093.719,2688.287
6550.372,8595.918,2268.447,2641.745
11253.623,8630.206,2315.615,2631.933
11557.832,8665.231,1012.899,2661.795
12947.459,8673.645,4351.018,2681.464
6967.017,8643.758,694.041,2698.448
1977.79,8853.621,621.874,2688.365
4839.241,8610.649,1546.384,2654.937
6006.967,8679.586,4811.134,2755.291
11609.218,8770.338,4604.762,2721.055
6404.897,8644.924,289.855,2723.348
